,Tempo,1A,2A,3A,4A,5A,6A,7A,8A,9A,10A,11A,12A
0,1741,,-1.2046083712121214,,,,,,,,,,
1,1742,,-1.0016083712121213,,,,,,,,,,
2,1743,,-0.2516083712121213,,,,,,,,,,
3,1744,,-0.5842783712121213,,,,,,,,,,
4,1745,,-0.3876083712121212,,,,,,,,,,
5,1746,,-0.3972783712121215,,,,,,,,,,
6,1747,,-0.24227837121212148,,,,,,,,,,
7,1748,,-0.2246083712121214,,,,,,,,,,
8,1749,,-0.12093837121212125,,,,,,,,,,
9,1750,,-0.08693837121212122,,,,,,,,,,
10,1751,,0.09139162878787865,,,,,,,,,,
11,1752,,0.049391628787878616,,,,,,,,,,
12,1753,,-0.3286083712121213,,,,,,,,,,
13,1754,,0.41072162878787877,,,,,,,,,,
14,1755,,0.13972162878787864,,,,,,,,,,
15,1756,,0.3527216287878785,,,,,,,,,,
16,1757,-0.9025967741935492,0.5533916287878786,,,,,,,,,,
17,1758,-0.6470967741935492,0.37806162878787886,,,,,,,,,,
18,1759,-0.638096774193549,0.5163916287878787,,,,,,,,,,
19,1760,-0.41209677419354906,0.31839162878787874,,,,,,,,,,
20,1761,-0.7410967741935491,-0.14960837121212145,,,,,,,,,,
21,1762,-0.2675967741935492,-0.9032783712121214,,,,,,,,,,
22,1763,-0.23559677419354896,-0.3722783712121214,,,,,,,,,,
23,1764,-0.10259677419354918,-0.05793837121212131,,,,,,,,,,
24,1765,0.08640322580645088,0.6010616287878787,,,,,,,,,,
25,1766,0.22640322580645078,0.48806162878787873,,,,,,,,,,
26,1767,-0.1225967741935492,0.7590616287878786,,,,,,,,,,
27,1768,-0.1495967741935491,0.8600616287878786,,,,,,,,,,
28,1769,0.6924032258064508,1.5370616287878782,,,,,,,,,,
29,1770,0.45890322580645093,0.15972162878787866,,,,,,,,,,
30,1771,0.11990322580645096,0.6483916287878788,,,,,,,,,,
31,1772,-0.017596774193549214,0.6083916287878788,,,,,,,,,,
32,1773,0.21290322580645094,1.2280616287878785,,,,,,,,,,
33,1774,0.6004032258064511,1.8100616287878784,,,,,,,,,,
34,1775,0.9889032258064507,1.6850616287878784,,,,,,,,,,
