time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2015-08-25T12:59:25.590Z,36.0489,-97.1413,2.61,3.5,mb_lg,,29,0.263,0.31,us,us100034qq,2015-08-25T13:27:08.842Z,"10km SW of Stillwater, Oklahoma",earthquake
2015-08-25T12:04:36.330Z,-19.7842,-178.0885,593.39,4.6,mb,,78,4.18,1.11,us,us100034qj,2015-08-25T12:23:23.027Z,"115km NNE of Ndoi Island, Fiji",earthquake
2015-08-25T11:54:33.500Z,19.4608,-66.3223,45,2.9,Md,7,291.6,0.99712997,0.2,pr,pr15237003,2015-08-25T12:27:13.017Z,"110km N of Brenas, Puerto Rico",earthquake
2015-08-25T11:49:47.830Z,19.0480003,-155.3936615,23.65,2.78,ml,13,213,0.1249,0.36,hv,hv61019206,2015-08-25T11:55:54.957Z,"19km SSE of Pahala, Hawaii",earthquake
2015-08-25T11:22:42.560Z,18.1531,145.6323,201.05,4.6,mb,,94,1.803,0.71,us,us100034qe,2015-08-25T11:46:40.465Z,"15km WNW of Pagan, Northern Mariana Islands",earthquake
2015-08-25T11:13:10.000Z,60.2922,-151.8723,93.5,2.9,ml,,,,0.93,ak,ak11685513,2015-08-25T11:38:25.684Z,"32km WSW of Cohoe, Alaska",earthquake
2015-08-25T10:04:17.900Z,19.259,-64.8332,10,3,Md,3,334.8,0.90999338,0.18,pr,pr15237008,2015-08-25T13:29:24.693Z,"95km NNW of Road Town, British Virgin Islands",earthquake
2015-08-25T09:42:33.600Z,19.1046,-64.746,67,3.1,Md,3,334.8,0.77344946,0.21,pr,pr15237007,2015-08-25T13:30:05.190Z,"77km N of Road Town, British Virgin Islands",earthquake
2015-08-25T09:39:04.600Z,19.2756,-64.846,10,3,Md,4,324,0.92436643,0.17,pr,pr15237006,2015-08-25T13:31:13.645Z,"98km NNW of Road Town, British Virgin Islands",earthquake
2015-08-25T09:02:52.200Z,18.93,-66.7741,59,3.3,Md,15,226.8,0.50664982,0.3,pr,pr15237002,2015-08-25T09:26:12.199Z,"49km N of Hatillo, Puerto Rico",earthquake
